Rectangles count; Build time; Request time; Total time
1; 419900; 13176400; 13596300
2; 1100; 2309100; 2310200
4; 1200; 2666400; 2667600
8; 1300; 3651600; 3652900
16; 1200; 3636500; 3637700
32; 1000; 6074700; 6075700
64; 900; 10198300; 10199200
128; 1900; 17875800; 17877700
256; 1100; 42262300; 42263400
512; 1500; 72778700; 72780200
1024; 1100; 168348800; 168349900
2048; 800; 192272500; 192273300
4096; 1200; 429946800; 429948000
8192; 1100; 743963800; 743964900
16384; 900; 1436153000; 1436153900
